indice_tiempo,nivel_general
1960-09-01,6.87247e-11
1960-10-01,6.92782e-11
1960-11-01,7.10084e-11
1960-12-01,7.75142e-11
1961-01-01,7.28079e-11
1961-02-01,7.37076e-11
1961-03-01,7.45384e-11
1961-04-01,7.61992e-11
1961-05-01,7.67528e-11
1961-06-01,7.77908e-11
1961-07-01,7.89675e-11
1961-08-01,7.95903e-11
1961-09-01,8.0421e-11
1961-10-01,8.049e-11
1961-11-01,8.30509e-11
1961-12-01,9.02486e-11
1962-01-01,8.66496e-11
1962-02-01,8.78956e-11
1962-03-01,8.92795e-11
1962-04-01,9.21864e-11
1962-05-01,9.53701e-11
1962-06-01,9.67541e-11
1962-07-01,1.011145e-10
1962-08-01,1.024294e-10
1962-09-01,1.062173e-10
1962-10-01,1.080355e-10
1962-11-01,1.074816e-10
1962-12-01,1.179323e-10
1963-01-01,1.130877e-10
1963-02-01,1.141257e-10
1963-03-01,1.195239e-10
1963-04-01,1.213927e-10
1963-05-01,1.213927e-10
1963-06-01,1.227769e-10
1963-07-01,1.246454e-10
1963-08-01,1.251993e-10
1963-09-01,1.27137e-10
1963-10-01,1.310819e-10
1963-11-01,1.34404e-10
1963-12-01,1.460313e-10
1964-01-01,1.453389e-10
1964-02-01,1.442315e-10
1964-03-01,1.438163e-10
1964-04-01,1.49353e-10
1964-05-01,1.49561e-10
1964-06-01,1.51637e-10
1964-07-01,1.521909e-10
1964-08-01,1.514294e-10
1964-09-01,1.530906e-10
1964-10-01,1.591116e-10
1964-11-01,1.609111e-10
1964-12-01,1.724691e-10
1965-01-01,1.66102e-10
1965-02-01,1.7413e-10
1965-03-01,1.78352e-10
1965-04-01,1.80221e-10
1965-05-01,1.84096e-10
1965-06-01,1.91502e-10
1965-07-01,1.99876e-10
1965-08-01,2.04305e-10
1965-09-01,2.0735e-10
1965-10-01,2.1268e-10
1965-11-01,2.20362e-10
1965-12-01,2.38356e-10
1966-01-01,2.32958e-10
1966-02-01,2.38079e-10
1966-03-01,2.4327e-10
1966-04-01,2.48322e-10
1966-05-01,2.50883e-10
1966-06-01,2.53028e-10
1966-07-01,2.57043e-10
1966-08-01,2.60018e-10
1966-09-01,2.63964e-10
1966-10-01,2.72407e-10
1966-11-01,2.78774e-10
1966-12-01,3.09711e-10
1967-01-01,2.9518e-10
1967-02-01,3.0148e-10
1967-03-01,3.0812e-10
1967-04-01,3.1186e-10
1967-05-01,3.1483e-10
1967-06-01,3.2854e-10
1967-07-01,3.4494e-10
1967-08-01,3.4611e-10
1967-09-01,3.4771e-10
1967-10-01,3.5767e-10
1967-11-01,3.6591e-10
1967-12-01,3.9442e-10
1968-01-01,3.8086e-10
1968-02-01,3.8459e-10
1968-03-01,3.821e-10
1968-04-01,3.8051e-10
1968-05-01,3.8093e-10
1968-06-01,3.8225e-10
1968-07-01,3.8203e-10
1968-08-01,3.8266e-10
1968-09-01,3.8799e-10
1968-10-01,3.956e-10
1968-11-01,3.9691e-10
1968-12-01,4.3214e-10
1969-01-01,4.1221e-10
1969-02-01,4.0667e-10
1969-03-01,4.1124e-10
1969-04-01,4.1166e-10
1969-05-01,4.0598e-10
1969-06-01,4.0999e-10
1969-07-01,4.1546e-10
1969-08-01,4.1235e-10
1969-09-01,4.2003e-10
1969-10-01,4.264e-10
1969-11-01,4.2944e-10
1969-12-01,4.6093e-10
1970-01-01,4.392e-10
1970-02-01,4.4515e-10
1970-03-01,4.509e-10
1970-04-01,4.5436e-10
1970-05-01,4.5772e-10
1970-06-01,4.6107e-10
1970-07-01,4.6674e-10
1970-08-01,4.7201e-10
1970-09-01,4.8163e-10
1970-10-01,5.0073e-10
1970-11-01,5.1367e-10
1970-12-01,5.6115e-10
1971-01-01,5.5956e-10
1971-02-01,5.7824e-10
1971-03-01,5.8433e-10
1971-04-01,5.8959e-10
1971-05-01,6.0392e-10
1971-06-01,6.2274e-10
1971-07-01,6.4953e-10
1971-08-01,6.6655e-10
1971-09-01,6.7257e-10
1971-10-01,6.7949e-10
1971-11-01,6.9784e-10
1971-12-01,7.8068e-10
1972-01-01,8.2137e-10
1972-02-01,8.5105e-10
1972-03-01,8.8705e-10
1972-04-01,9.3031e-10
1972-05-01,9.4526e-10
1972-06-01,9.9723e-10
1972-07-01,1.04672e-09
1972-08-01,1.0454e-09
1972-09-01,1.07101e-09
1972-10-01,1.12285e-09
1972-11-01,1.17759e-09
1972-12-01,1.28148e-09
1973-01-01,1.34072e-09
