indice_tiempo,nivel_general,inflacion_intermensual,inflacion_interanual,año,inflacion_acumulada,inflacion_anualizada,inflacion_intertrimestral,inflacion_intercuatrimestral,inflacion_intersemestral
1957-09-01,2.07634e-11,-0.22057445469093606,30.08915537344383,1957,22.57097149333822,-2.6150173450826375,7.075853604451465,11.189414102035444,17.36436912850312
1957-10-01,2.09828e-11,1.056667019852231,29.808715448763955,1957,23.86613852502082,13.443507692896883,6.25224705161509,8.207288835714976,15.512248830167907
1957-11-01,2.15108e-11,2.516346722077145,31.047549422766462,1957,26.983040041558716,34.74648809433574,3.3710888881413714,8.925921987431696,15.191791752124617
1957-12-01,2.15204e-11,0.04462874463058153,25.63208929520071,1957,27.03971097822302,0.5368614314712028,3.645838350173869,3.4172221074231235,10.979666138938594
1958-01-01,2.09504e-11,-2.648649653352153,23.67487411377873,1958,0.0,-27.53909410524621,-0.15441218521835554,0.9006232119980417,6.088180635099061
1958-02-01,2.12404e-11,1.3842217809683754,24.436997633163827,1958,1.3842217809683754,17.935475589664417,-1.2570429737620237,1.2276721886497644,2.0716698783716847
1958-03-01,2.15913e-11,1.6520404512156084,22.044043998779085,1958,3.0591301359401246,21.72876259845442,0.32945484284678805,0.37423061903787413,3.9873045840276733
1958-04-01,2.25238e-11,4.318869174158113,23.995595926231772,1958,7.510119138536719,66.09419246271706,7.510119138536719,4.66255274065539,7.344110414244054
1958-05-01,2.39777e-11,6.454949875243088,28.402208429947674,1958,14.449843439743404,111.83139075888393,12.887233762076056,14.449843439743404,11.468192721795557
1958-06-01,2.50354e-11,4.411182056660978,29.106351817567667,1958,19.49843439743393,67.86654430078327,15.951332249563466,17.866895162049666,16.33333952900504
1958-07-01,2.59436e-11,3.627663228867939,31.372638380401142,1958,23.833435161142514,53.35871493777764,15.183050817357646,20.15765609296336,23.833435161142514
1958-08-01,2.71487e-11,4.645076242310253,30.464263574459505,1958,29.585592637849388,72.43506492724885,13.224788032213253,20.533391346042862,27.816331142539696
1958-09-01,2.76678e-11,1.9120620876874383,33.25274280705472,1958,32.06334962578279,25.518306261485503,10.514711168984725,15.389716278041664,28.143279932194897
1958-10-01,2.84901e-11,2.9720469281981243,35.778351792897034,1958,35.988334351611414,42.11245805975097,9.815522903529184,13.799260247489563,26.488869551319038
1958-11-01,2.99378e-11,5.081414245650251,39.17566989605219,1958,42.898464945776674,81.263728782852,10.273420090096398,15.395704528284426,24.856846152883705
1958-12-01,3.24419e-11,8.364342069223518,50.74952138436088,1958,54.8509813655109,162.20247231520287,17.25507629807934,19.497066157863905,29.58410890179506
1959-01-01,3.82028e-11,17.75759126315044,82.3487857033756,1959,0.0,610.9956814437719,34.09149143035653,38.07675348238748,47.25327248338704
1959-02-01,4.16713e-11,9.079177442491115,96.18886649968925,1959,9.079177442491115,183.72803586132633,39.19292666795824,46.26589587260135,53.492800760257374
1959-03-01,4.47289e-11,7.337424078442489,107.16168086219912,1959,17.082779272723457,133.8912767981147,37.87386065551033,49.40610198478179,61.664100506726236
1959-04-01,4.84271e-11,8.268032524832925,115.00412896580508,1959,26.763221543970594,159.41969049056667,26.763221543970594,49.27331629775076,69.9786943534772
1959-05-01,5.3479e-11,10.431968876930476,123.03640465932926,1959,39.98712136283202,228.95597760988315,28.335329111402817,39.98712136283202,78.63370053911778
1959-06-01,5.68585e-11,6.319302903943602,127.11240882909797,1959,48.833331588260535,108.61495823122769,27.118037778706828,36.44522729072528,75.26254627503322
1959-07-01,5.85975e-11,3.058469709893874,125.86495320618573,1959,53.38535395311339,43.5503558051372,21.001464056282536,31.005904459980016,53.38535395311339
1959-08-01,6.08125e-11,3.7800247450829882,123.99783415043815,1959,59.18335828787418,56.08646283619938,13.712859253164812,25.575349339522703,45.93377216453531
1959-09-01,6.18905e-11,1.772661870503578,123.69143914586628,1959,62.00514098443044,23.473455957892362,8.850040011607764,15.728603751005066,38.36803498409304
1959-10-01,6.22729e-11,0.6178654236110637,118.5773303709008,1959,63.00611473504561,7.6716072595385265,6.272281240667277,9.522586772426301,28.591016187217487
1959-11-01,6.35763e-11,2.0930452893634266,112.36129575319498,1959,66.4179065408818,28.21944736015014,4.544789311408004,8.496608217074098,18.880869126199062
1959-12-01,6.54095e-11,2.883464435646621,101.62043530126167,1959,71.21650769053578,40.65233939790465,5.685848393533766,7.559301130524165,15.039088262968603
1960-01-01,6.72018e-11,2.740121847743815,75.90804862470814,1960,0.0,38.31870602183132,7.914999943795786,8.581769415338393,14.683732241136571
1960-02-01,6.77557e-11,0.8242338746878852,62.595599369350154,1960,0.8242338746878852,10.351735533945705,6.573833330973966,8.804471929201952,11.417389516957876
1960-03-01,6.82399e-11,0.714626223328807,52.563331537328196,1960,1.544750289426755,8.920730052966874,4.327200177344248,7.335437891163843,10.259086612646517
1960-04-01,6.81709e-11,-0.10111386446931547,40.77014729356083,1960,1.442074468243404,-1.2066412163743268,1.442074468243404,4.221710913552301,9.471214605390132
1960-05-01,6.80326e-11,-0.20287248664753177,27.21367265655679,1960,1.2362764092628487,-2.407488914544109,0.4086741041712916,1.2362764092628487,7.009372989620344
1960-06-01,6.76867e-11,-0.5084327219597728,19.04411829365882,1960,0.7215580535045119,-5.933438823160375,-0.8106694177453355,-0.10183645066025315,3.481451471116559
1960-07-01,6.83092e-11,0.919678459726958,16.573573957933352,1960,1.6478725272239592,11.611847672904574,0.20287248664752067,0.10155348996701008,1.6478725272239592
1960-08-01,6.86554e-11,0.5068131379082352,12.896855087358695,1960,2.163037299596149,6.254181842846052,0.9154434785676457,0.7107138089712972,1.3278587631741612
1960-09-01,6.87247e-11,0.10093889191526983,11.042405538814526,1960,2.2661595373933308,1.2180138954912767,1.5335361304362527,1.0173064089862738,0.7104348042713982
